1,"Pl/0,75x100x19",2,16,0.75,100,19,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
2,"Pl/0,75x100x32",2,16,0.75,100,32,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
3,"Pl/0,75x125x19",2,16,0.75,125,19,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
4,"Pl/0,75x125x25",2,16,0.75,125,25,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
5,"Pl/0,75x75x19",2,16,0.75,75,19,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
6,"Pl/1,5x100x19",2,16,1.50,100,19,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
7,"Pl/1,5x125x19",2,16,1.50,125,19,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
8,"Pl/1,5x125x25",2,16,1.50,125,25,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
9,"Pl/1,5x75x19",2,16,1.50,75,19,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
10,"Pl/1x100x19",2,16,1.00,100,19,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
11,"Pl/1x100x32",2,16,1.00,100,32,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
12,"Pl/1x125x19",2,16,1.00,125,19,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
13,"Pl/1x125x25",2,16,1.00,125,25,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
14,"Pl/1x75x19",2,16,1.00,75,19,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois 4F","Planche","M3",0
15,"Ba/2,5x100x38",1,3,2.50,100,38,0,0,0,0,0,0,"../images/Battant.png",0,0,"Bois brut","Battant","M3",0
16,"Ba/2,5x125x38",1,3,2.50,125,38,0,0,0,0,0,0,"../images/Battant.png",0,0,"Bois brut","Battant","M3",0
17,"Ba/2,5x50x38",1,3,2.50,50,38,0,0,0,0,0,0,"../images/Battant.png",0,0,"Bois brut","Battant","M3",0
18,"Ba/2x100x38",1,3,2.00,100,38,0,0,0,0,0,0,"../images/Battant.png",0,0,"Bois brut","Battant","M3",0
19,"Ba/2x125x38",1,3,2.00,125,38,0,0,0,0,0,0,"../images/Battant.png",0,0,"Bois brut","Battant","M3",0
20,"Ba/2x175x38",1,3,2.00,175,38,0,0,0,0,0,0,"../images/Battant.png",0,0,"Bois brut","Battant","M3",0
21,"Ba/4,5x150x38",1,3,4.50,150,38,0,0,0,0,0,0,"../images/Battant.png",0,0,"Bois brut","Battant","M3",0
22,"Ba/4,5x175x38",1,3,4.50,175,38,0,0,0,0,0,0,"../images/Battant.png",0,0,"Bois brut","Battant","M3",0
23,"Ba/4x125x38",1,3,4.00,125,38,0,0,0,0,0,0,"../images/Battant.png",0,0,"Bois brut","Battant","M3",0
24,"Ba/4x150x44",1,3,4.00,150,44,0,0,0,0,0,0,"../images/Battant.png",0,0,"Bois brut","Battant","M3",0
25,"Ba/4x175x38",1,3,4.00,175,38,0,0,0,0,0,0,"../images/Battant.png",0,0,"Bois brut","Battant","M3",0
26,"Ch/2,5x63x63",1,4,2.50,63,63,0,0,0,0,0,0,"../images/Chevron.png",0,0,"Bois brut","Chevron","M3",3
27,"Ch/2,5x75x50",1,4,2.50,75,50,0,0,0,0,0,0,"../images/Chevron.png",0,0,"Bois brut","Chevron","M3",2
28,"Ch/2,5x75x75",1,4,2.50,75,75,0,0,0,0,0,0,"../images/Chevron.png",0,0,"Bois brut","Chevron","M3",2
29,"Ch/2x50x50",1,4,2.00,50,50,0,0,0,0,0,0,"../images/Chevron.png",0,0,"Bois brut","Chevron","M3",4
30,"Ch/4x50x50",1,4,4.00,50,50,0,0,0,0,0,0,"../images/Chevron.png",0,0,"Bois brut","Chevron","M3",4
31,"Ch/4x63x63",1,4,4.00,63,63,0,0,0,0,0,0,"../images/Chevron.png",0,0,"Bois brut","Chevron","M3",3
32,"Ch/4x75x50",1,4,4.00,75,50,0,0,0,0,0,0,"../images/Chevron.png",0,0,"Bois brut","Chevron","M3",2
33,"La/2,5x32x32",1,13,2.50,32,32,0,0,0,0,0,0,"../images/Chevron.png",0,0,"Bois brut","Latte","M3",0
34,"La/2x32x32",1,13,2.00,32,32,0,0,0,0,0,0,"../images/Chevron.png",0,0,"Bois brut","Latte","M3",0
35,"La/2x38x38",1,13,2.00,38,38,0,0,0,0,0,0,"../images/Chevron.png",0,0,"Bois brut","Latte","M3",0
36,"Ma/2,5x100x100",1,2,2.50,100,100,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
37,"Ma/2,5x150x38",1,2,2.50,150,38,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
38,"Ma/2,5x175x38",1,2,2.50,175,38,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
39,"Ma/2,5x175x63",1,2,2.50,175,63,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
40,"Ma/2,5x175x75",1,2,2.50,175,75,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
41,"Ma/2x63x63",1,2,2.00,63,63,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
42,"Ma/2x75x50",1,2,2.00,75,50,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
43,"Ma/2x75x75",1,2,2.00,75,75,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
44,"Ma/4,5x175x63",1,2,4.50,175,63,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
45,"Ma/4,5x175x75",1,2,4.50,175,75,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
46,"Ma/4x100x100",1,2,4.00,100,100,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
47,"Ma/4x150x50",1,2,4.00,150,50,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
48,"Ma/4x150x63",1,2,4.00,150,63,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
49,"Ma/4x175x63",1,2,4.00,175,63,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
50,"Ma/4x175x75",1,2,4.00,175,75,0,0,0,0,0,0,"../images/Madrier.png",0,0,"Bois brut","Madrier","M3",0
51,"Pl/2,5x100x32",1,1,2.50,100,32,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois brut","Planche","M3",0
52,"Pl/2,5x125x25",1,1,2.50,125,25,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois brut","Planche","M3",0
53,"Pl/2,5x150x25",1,1,2.50,150,25,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois brut","Planche","M3",0
54,"Pl/2,5x150x32",1,1,2.50,150,32,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois brut","Planche","M3",0
55,"Pl/2,5x175x25",1,1,2.50,175,25,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois brut","Planche","M3",0
56,"Pl/2x150x25",1,1,2.00,150,25,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois brut","Planche","M3",0
57,"Pl/2x150x32",1,2,2.00,150,32,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois brut","Madrier","M3",0
58,"Pl/2x175x25",1,1,2.00,175,25,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois brut","Planche","M3",0
59,"Pl/4x100x25",1,1,4.00,100,25,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois brut","Planche","M3",0
60,"Pl/4x150x25",1,1,4.00,150,25,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois brut","Planche","M3",0
61,"Pl/4x175x25",1,1,4.00,175,25,0,0,0,0,0,0,"../images/Planche.png",0,0,"Bois brut","Planche","M3",0
62,"CA90p/1.5x90x25",3,5,1.50,90,25,10,0,0,0,0,0,"NULL",0,0,"Bois profile","A peindre","ML",0
63,"CA90p/2.5x90x25",3,5,2.50,90,25,8,0,0,0,0,0,"NULL",0,0,"Bois profile","A peindre","ML",0
64,"CA90p/2x90x25",3,5,2.00,90,25,10,0,0,0,0,0,"NULL",0,0,"Bois profile","A peindre","ML",0
65,"CA90v/1.5x90x25",3,6,1.50,90,25,10,0,0,0,0,0,"NULL",0,0,"Bois profile","A vernir","ML",0
66,"CA90v/2.5x90x25",3,6,2.50,90,25,8,0,0,0,0,0,"NULL",0,0,"Bois profile","A vernir","ML",0
67,"CA90v/2x90x25",3,6,2.00,90,25,10,0,0,0,0,0,"NULL",0,0,"Bois profile","A vernir","ML",0
68,"CJ40p/1.5x40x14",3,5,1.50,40,14,50,0,0,0,0,0,"NULL",0,0,"Bois profile","A peindre","ML",0
69,"CJ40p/1x40x14",3,5,1.00,40,14,50,0,0,0,0,0,"NULL",0,0,"Bois profile","A peindre","ML",0
70,"CJ40p/2.5x40x14",3,5,2.50,40,14,40,0,0,0,0,0,"NULL",0,0,"Bois profile","A peindre","ML",0
71,"CJ40p/2x40x14",3,5,2.00,40,14,50,0,0,0,0,0,"NULL",0,0,"Bois profile","A peindre","ML",0
72,"CJ40v/1.5x40x14",3,6,1.50,40,14,50,0,0,0,0,0,"NULL",0,0,"Bois profile","A vernir","ML",0
73,"CJ40v/1x40x14",3,6,1.00,40,14,50,0,0,0,0,0,"NULL",0,0,"Bois profile","A vernir","ML",0
74,"CJ40v/2.5x40x14",3,6,2.50,40,14,40,0,0,0,0,0,"NULL",0,0,"Bois profile","A vernir","ML",0
75,"CJ40v/2x40x14",3,6,2.00,40,14,50,0,0,0,0,0,"NULL",0,0,"Bois profile","A vernir","ML",0
76,"F110p/0.5x110x13",3,5,0.50,110,13,24,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
77,"F110p/0.75x110x13",3,5,0.75,110,13,24,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
78,"F110p/1.5x110x13",3,5,1.50,110,13,12,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
79,"F110p/1x110x13",3,5,1.00,110,13,24,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
80,"F110p/2.5x110x13",3,5,2.50,110,13,12,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
81,"F110p/2x110x13",3,5,2.00,110,13,12,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
82,"F110v/0.5x110x13",3,6,0.50,110,13,24,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A vernir","M2",0
83,"F110v/0.75x110x13",3,6,0.75,110,13,24,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A vernir","M2",0
84,"F110v/1.5x110x13",3,6,1.50,110,13,12,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A vernir","M2",0
85,"F110v/1x110x13",3,6,1.00,110,13,24,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A vernir","M2",0
86,"F110v/2.5x110x13",3,6,2.50,110,13,12,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A vernir","M2",0
87,"F110v/2x110x13",3,6,2.00,110,13,12,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A vernir","M2",0
88,"F60p/0.5x60x13",3,5,0.50,60,13,40,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
89,"F60p/0.75x60x13",3,5,0.75,60,13,40,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
90,"F60p/1.5x60x13",3,5,1.50,60,13,20,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
91,"F60p/1x60x13",3,5,1.00,60,13,40,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
92,"F60p/2.5x60x13",3,5,2.50,60,13,20,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
93,"F60p/2x60x13",3,5,2.00,60,13,20,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
94,"F60v/0.5x60x13",3,6,0.50,60,13,40,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A vernir","M2",0
95,"F60v/0.75x60x13",3,6,0.75,60,13,40,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A vernir","M2",0
96,"F60v/1.5x60x13",3,6,1.50,60,13,20,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A vernir","M2",0
97,"F60v/1x60x13",3,6,1.00,60,13,40,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A vernir","M2",0
98,"F60v/2.5x60x13",3,6,2.50,60,13,20,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A vernir","M2",0
99,"F60v/2x60x13",3,6,2.00,60,13,20,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A vernir","M2",0
100,"F86p/0.5x86x13",3,5,0.50,86,13,28,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
101,"F86p/0.75x86x13",3,5,0.75,86,13,28,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
102,"F86p/1.5x86x13",3,5,1.50,86,13,14,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
103,"F86p/1x86x13",3,5,1.00,86,13,28,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
104,"F86p/2.5x86x13",3,5,2.50,86,13,14,0,0,0,0,0,"../images/Frisette.png",0,0,"Bois profile","A peindre","M2",0
